session,unit,direction,lo,hi,peak_pos,width,peak_rate,si,n_spikes,mrl,slope,phi0,rho,p,n
Cicero_09102014,71,left,52.0,124.0,82.0,72.0,4.50916811213305,1.0794023657979697,260,0.10218438610527206,-4.838052686528282,5.479811896471808,-0.3047106281134678,2.1175314535160084e-06,260
Cicero_09102014,72,left,92.0,132.0,118.0,40.0,12.588957534544091,1.4009996860324554,370,0.13900989470055736,-4.624424386084176,5.027562982334347,-0.2084539272391424,5.1886624902852674e-05,370
Cicero_09102014,76,left,4.0,40.0,26.0,36.0,7.822412851503912,0.8223561566654074,169,0.19328908429700611,-3.455751918948773,3.4688388552565046,-0.10594193634911682,0.13678344184270208,169
Cicero_09102014,77,left,176.0,224.0,198.0,48.0,14.538188278516646,0.9754202825025179,375,0.18520851248546938,-4.046371337823653,4.486761425183701,-0.17123929205751304,0.0006198976237556941,375
Cicero_09102014,80,left,148.0,188.0,170.0,40.0,5.790601162109393,0.9580115168382058,117,0.07330610590846359,2.915397982531328,4.292973298513794,0.42725972361671133,1.953181331071363e-05,117
Cicero_09102014,91,left,80.0,120.0,102.0,40.0,3.139272981624644,0.633780911868657,92,0.18406038870700722,-3.93327400229442,4.442458697817862,-0.5575928196091484,1.188824305664582e-07,92
Cicero_09102014,92,left,160.0,236.0,202.0,76.0,2.752373186460121,0.8191951218168683,111,0.16413156792048816,-3.556282883863646,4.728836861467737,-0.23589632573505462,0.013417467505633995,111
Cicero_09102014,94,left,76.0,120.0,98.0,44.0,3.785604303411223,1.5664292721450939,133,0.16868613902240598,-3.518583772020569,4.069625248668373,-0.5013186945806769,8.88390894182578e-09,133
Cicero_09102014,97,left,8.0,44.0,26.0,36.0,18.974003064226146,1.1614220217096178,453,0.2153847893959071,-3.9458403729087794,5.095889381222888,-0.4840123202830419,0.0,453
Gatsby_08022013,7,right,0.0,48.0,18.0,48.0,16.928890194259207,0.6774796501586802,672,0.13734687258520092,-4.875751798371359,4.939935181136008,-0.23360588652423156,2.4337298842880273e-09,672
