unit,direction,k,si,si_z,p,peak_rate,peak_pos,mean_rate,width,sparsity,contrast,participation,stability,n_spikes
179,leftward,93,0.939679700890643,23.947619434104798,0.0,35.94650810709194,118.0,9.427221482434412,40.0,0.40864093509263416,7.154265667403347,1.0,0.9976848607317746,876.0
181,leftward,95,2.05240769002147,18.209997679364328,0.0,6.787266504388677,2.0,0.5830749992299868,8.0,0.14748524042002903,23.609150604088136,0.3902439024390244,0.9658956157500129,51.0
182,leftward,96,0.9821417897399225,17.318691813389453,0.0,31.16700462636853,110.0,8.591629653119247,44.0,0.40837388891346893,7.398909286322753,0.9512195121951219,0.9926028162128461,800.0
201,leftward,99,0.736410406474928,19.863709252228908,0.0,5.306912096622595,6.0,1.2268430985908534,20.0,0.4130124933496142,7.0372762297854194,0.7560975609756098,0.9458281384886854,114.0
202,leftward,100,0.15162763186163514,10.740383600795695,0.0,6.664110365311716,50.0,4.440917753003106,124.0,0.8567225860731594,2.9824501789990334,1.0,0.8851348937438299,414.0
203,leftward,101,1.1066978439224506,12.782494075503617,0.0,7.155164111696491,14.0,1.8622847769617987,32.0,0.3578469056330496,10.16642366808961,0.7804878048780488,0.960947301419676,173.0
204,leftward,102,0.6390458658198627,16.94949683095673,0.0,4.90630831603077,2.0,1.1438582620299915,20.0,0.44280669838683545,6.1582572210481175,0.7804878048780488,0.9255337145136161,107.0
211,leftward,104,1.316939684727225,10.645356701783063,0.0,6.631798804965122,158.0,0.905097811717082,8.0,0.26070319420274335,11.729477147194626,0.3888888888888889,0.933093020181062,84.0
215,leftward,106,1.2558681683651423,21.82680088695933,0.0,17.16354451246448,154.0,4.696067531297866,44.0,0.349076121057607,15.788105195431534,0.9024390243902439,0.9747546605229318,439.0
219,leftward,109,0.5738361941981145,5.588078469819062,0.0,2.7390761070789162,138.0,0.8584346012558195,28.0,0.5424844037635004,4.219420086930128,0.2564102564102564,0.7611565278115509,79.0
222,leftward,112,0.7726452470310278,18.99117273443152,0.0,10.511619385747235,2.0,2.055328728277261,16.0,0.39784094443279555,6.848045217927334,0.7804878048780488,0.9423466367327382,194.0
229,leftward,114,1.0072826225258729,21.652841255691364,0.0,5.87192787447103,70.0,1.4526158342374274,36.0,0.3858143675653724,8.12779334819515,0.9024390243902439,0.9803472832386797,135.0
238,leftward,117,1.1960087477084014,17.184747744114098,0.0,14.133180858235175,82.0,3.4315354663069213,36.0,0.3606204739268329,8.39583413794242,0.975609756097561,0.9940181041691983,319.0
240,leftward,118,0.5666347838137069,22.914859614135047,0.0,12.855089625723485,74.0,3.982524319091236,36.0,0.5330703740548975,4.515621389885567,0.9512195121951219,0.9745900153518295,370.0
242,leftward,120,0.7495293883540457,11.702882472336151,0.0,4.909839355690546,46.0,1.1491690262502416,20.0,0.43405406606233976,6.203714080728169,0.5609756097560976,0.9040539807576934,107.0
257,leftward,125,0.0677768228500265,3.589511175664068,0.00999000999000999,6.211785344647921,82.0,3.7788280836659363,64.0,0.9154689170275536,1.3548930493910076,1.0,0.7546331312159441,353.0
258,leftward,126,0.2251402754419264,21.13876562549946,0.0,10.619688753142327,74.0,5.596013813229703,48.0,0.7876092203733173,1.773962909689618,1.0,0.9077367266731711,521.0
263,leftward,128,1.546387945387708,7.934167947390168,0.0,4.940571920922135,34.0,0.9723775448680232,28.0,0.2899098972951671,12.72943728734694,0.36585365853658536,0.937593528123473,90.0
272,leftward,136,0.6019176487444475,11.89439509638667,0.0,3.838450866743777,158.0,0.9952143778852359,20.0,0.49302855671563445,4.952960120205175,0.4864864864864865,0.7605141877969382,93.0
