slope,phi0,rho,R,n,p,session,unit,direction,peak,si,lo,width,n_runs,n_passes,maze,track_len,circular
-0.33000000000000007,-1.6203114002822807,-0.3382245823713925,0.4692194941729718,170,0.004975124378109453,Achilles-11012013,81,-1,2.5837475475108143,0.9642390994040811,2.5374999999999996,0.44,366,43,CircularMaze,2.9,True
-0.8399999999999999,-0.7049397989793313,0.09076148744736887,0.27684423974445854,579,0.01990049751243781,Achilles-11012013,84,-1,12.284036071852826,0.838211660504252,1.6916666666666664,0.4,366,88,CircularMaze,2.9,True
-0.48999999999999977,-2.710608955558783,-0.5453571825562202,0.5914473045063258,92,0.004975124378109453,Achilles-11012013,86,-1,3.7405078328206725,1.2138557674855237,0.6847222222222221,0.32,366,43,CircularMaze,2.9,True
-0.9199999999999999,-0.0899498520833126,0.2659605127687169,0.21356398993173753,296,0.004975124378109453,Achilles-11012013,88,-1,7.004946026556455,0.9849150069333582,0.20138888888888887,0.36,366,41,CircularMaze,2.9,True
-0.8900000000000001,-1.1173956031046304,0.13151355774295737,0.2948314425975999,619,0.004975124378109453,Achilles-11012013,89,-1,10.471652614265567,0.5669158725963844,2.336111111111111,0.4,366,117,CircularMaze,2.9,True
-2.48,1.7945940131310947,-0.1951643914785601,0.2174862148877224,424,0.004975124378109453,Achilles-11012013,91,-1,4.576028431809732,0.8253754597642717,1.4499999999999997,0.72,366,93,CircularMaze,2.9,True
-0.6699999999999999,-0.9312814200964721,-0.328712218155428,0.3459779254369421,563,0.004975124378109453,Achilles-11012013,92,-1,10.034064168683864,1.1143718888834324,2.175,0.36,366,115,CircularMaze,2.9,True
0.6800000000000002,-2.4176141739642745,0.4198017373685209,0.22970355286782476,158,0.004975124378109453,Achilles-11012013,95,-1,2.990414707436723,1.3104173882766164,1.3694444444444442,0.4,366,36,CircularMaze,2.9,True
-0.6800000000000002,-1.6547044022214685,-0.49891759224084054,0.3799769138652985,711,0.004975124378109453,Achilles-11012013,96,-1,12.231915603564445,1.5752825224403961,1.8527777777777776,0.4,366,116,CircularMaze,2.9,True
-0.54,-2.159703212408128,-0.22806654691349518,0.2265398057835931,173,0.009950248756218905,Achilles-11012013,99,-1,4.881488531880728,1.341406773910503,0.40277777777777773,0.32,366,45,CircularMaze,2.9,True
-0.45999999999999996,-0.9155298334782312,-0.17253531279160908,0.30703304029431716,187,0.01990049751243781,Achilles-11012013,100,-1,5.242911329930658,0.5652093063023091,0.6847222222222221,0.44,366,63,CircularMaze,2.9,True
-0.31000000000000005,2.3887127543442555,-0.1376095305655055,0.19512379066081317,2162,0.004975124378109453,Achilles-11012013,103,-1,26.243067674232517,1.5002945663688045,1.0875,0.72,366,139,CircularMaze,2.9,True
-1.14,2.492739869183513,0.0029530249643493203,0.2587357326541141,56,0.9800995024875622,Buddy-06272013,6,1,3.532479389131327,1.1876543956081713,0.92,0.52,36,10,1.6mLinearMaze,1.6,False
-0.69,1.04103996197854,-0.6372076764753799,0.515468201817847,297,0.004975124378109453,Buddy-06272013,7,1,11.384287129190113,0.6487719833241428,0.24,0.84,36,30,1.6mLinearMaze,1.6,False
-0.6800000000000002,1.751075221071329,-0.5346598112305485,0.5188406349854547,280,0.004975124378109453,Buddy-06272013,11,1,15.848794494096355,0.960812633276764,0.12,0.6,36,31,1.6mLinearMaze,1.6,False
