,gOSI,OSI,pref_ori,gDSI,DSI,pref_dir,anova_F,anova_p,gOSI_p,gOSI_null_mean,peak_rate,mean_rate,area,session,responsive
sub-707296975_ses-721123822_950907473,0.04064627583330848,0.07619307727976501,124.14929721212229,,,,0.4753030376891132,0.7949472999664652,0.5169660678642715,0.04281092586487405,0.46559218202143665,0.42478561665638387,VISam,sub-707296975_ses-721123822,False
sub-707296975_ses-721123822_950907493,0.08499301417652672,0.00025916169404804884,161.92696454026068,,,,29.903453269118874,4.2027917420390116e-30,0.001996007984031936,0.011599618014275958,6.225715992854687,5.469026732619931,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907506,0.04816000341054914,0.1065503637325619,8.275218210158988,,,,17.108667860521585,7.747650107696969e-17,0.001996007984031936,0.008046542825882418,14.861786722008315,13.229931783812786,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907555,0.010513386137048662,0.03236951287144599,35.71555729922723,,,,0.22960668220286728,0.9497477451194292,0.7145708582834331,0.016018101678363865,3.4775042002886827,3.3898539263431595,VISam,sub-707296975_ses-721123822,False
sub-707296975_ses-721123822_950907561,0.011154410182990092,0.0306938352174934,143.31608059663796,,,,5.82941983439878,2.234835565721816e-05,0.26147704590818366,0.008587167261002915,6.610487141689321,6.17320199195419,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907563,0.01844831618907731,0.04006662390106387,179.70720830262442,,,,19.26271253503306,4.580717999373307e-19,0.005988023952095809,0.007273972981623326,8.067483225621745,7.2636419453440295,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907565,0.06390130766151113,0.12891149416276793,84.28236547623378,,,,11.14775854451191,1.0364223189448923e-10,0.001996007984031936,0.013285682408484392,5.486169356939356,4.50823740981516,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907573,0.11765255917294805,0.21722205845506265,108.4854382018269,,,,6.769586389842183,2.659956745534825e-06,0.001996007984031936,0.027343708491370987,1.281403641643461,0.9649292830876496,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908404,0.32240340003183804,0.5464751098639671,72.00231127892307,,,,170.54206311776244,9.606240926927235e-170,0.001996007984031936,0.014933572882116095,11.550061719604894,6.36550923823737,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908410,0.033232012568520417,0.056523668777599574,159.57013724277763,,,,9.40571014856707,6.093151775657285e-09,0.001996007984031936,0.006266912771236582,32.71644075060677,30.843565227068414,VISp,sub-707296975_ses-721123822,True
