unit,area,b0,gain,pd_rad,pd_deg,r2,best_lag
117,M1,2.6809779783413465,0.6382584984686726,-1.4491142051333996,276.9718720134012,0.0034921807833818708,-0.12000000000000005
118,M1,2.333914273747924,0.9487115969819025,-2.386044693193837,223.28970935040576,-0.00011134829853376438,-0.12000000000000005
119,M1,5.2146539899898965,4.4907434528196,-2.5563221509661,213.533529673838,-0.0002284871714266501,0.11999999999999983
120,M1,5.685320085316665,9.713657767447138,3.015254696349053,172.76136825780134,0.007559679133285591,0.05999999999999986
121,M1,3.3799966892547255,1.8063635476292295,-1.7227562806350138,261.29333598995845,0.0020887602884938072,0.23999999999999977
122,M1,0.8986858042745449,4.272807056636168,-0.12772873222231412,352.6816827211048,0.009307191308460028,0.09999999999999984
123,M1,5.601733694057537,7.007381116427779,0.36951700848317304,21.17176504438565,0.004367385467058615,0.1799999999999998
124,M1,0.4027876389411572,0.16733906018109437,-3.004208750558574,187.8715178167234,-0.0017770287718370525,-0.18000000000000002
125,M1,7.958678054639417,4.7188347986982935,-0.15477632109328335,351.1319700327932,0.0016809992948362273,0.1599999999999998
126,M1,2.239449929427171,1.040342256292059,-2.7765868513915697,200.91329196374514,-0.004429395077031106,-0.18000000000000002
127,M1,3.6989987240779896,0.8050646834701048,-1.4836643237911813,274.9922960326341,-0.0031541899764020442,-0.16000000000000003
128,M1,15.05627687402968,0.39812991943162457,2.0255127562152544,116.05333228104489,-0.0023253659372328706,-0.2
129,M1,0.37004319729932816,0.10629159067301323,1.9822742803635602,113.57595010216448,-0.0008821385096520196,0.27999999999999975
130,M1,0.16102427063511,0.723864945165202,-1.7501613036407022,259.7231438342736,-0.0013919061855893755,0.05999999999999986
131,M1,0.21196729883033452,0.05621102469335429,3.08643006888925,176.83941670962594,-0.0027993789834841465,0.2999999999999997
132,M1,2.9038365437520013,7.7221494472601,0.7860118528841817,45.03516181752138,0.005535143203695414,0.07999999999999985
133,M1,4.020952407783794,2.0994105447426463,-3.1385921103815755,180.1719184620775,0.0003467308379038192,-0.2
134,M1,0.3156406419683627,0.09723659842981394,-3.0822661926212036,183.39915582694778,-0.0035859202425048142,0.05999999999999986
135,M1,0.4637181445663611,0.2891063594535989,2.8700017035614027,164.4389848094248,-0.00361683796604928,0.21999999999999978
136,M1,5.956510312046188,7.986415788850033,-3.1004251193609944,182.35872596427052,0.0016233813730088809,-0.04000000000000009
