start,stop,orientation,spatial_frequency,phase
5485.527766646623,5485.777968148465,30.0,0.08,0.25
5485.777968148465,5486.028179146623,0.0,0.02,0.25
5486.028179146623,5486.278390144779,0.0,0.04,0.75
5486.278390144779,5486.528601142938,120.0,0.08,0.25
5486.528601142938,5486.778812141096,150.0,0.08,0.75
5486.778812141096,5487.029021142938,0.0,0.08,0.25
5487.029021142938,5487.279230144781,30.0,0.32,0.25
5487.279230144781,5487.529439146623,90.0,0.04,0.0
5487.529439146623,5487.779648148467,30.0,0.16,0.5
5487.779648148467,5488.029854146623,0.0,0.32,0.75
5488.029854146623,5488.280060144781,120.0,0.32,0.25
5488.280060144781,5488.530266142939,120.0,0.16,0.25
5488.530266142939,5488.780472141096,150.0,0.16,0.0
5488.780472141096,5489.030686142938,0.0,0.04,0.5
5489.030686142938,5489.280900144781,0.0,0.16,0.25
5489.280900144781,5489.5311141466245,150.0,0.16,0.75
5489.781328148466,5490.031536646623,120.0,0.04,0.0
5490.031536646623,5490.281745144781,150.0,0.32,0.75
5490.281745144781,5490.531953642938,150.0,0.02,0.25
5490.531953642938,5490.782162141096,0.0,0.16,0.75
5490.782162141096,5491.032371142938,120.0,0.08,0.0
5491.032371142938,5491.282580144781,90.0,0.16,0.0
5491.282580144781,5491.532789146623,0.0,0.02,0.5
5491.532789146623,5491.7829981484665,120.0,0.32,0.0
5491.7829981484665,5492.033204146623,90.0,0.08,0.75
5492.033204146623,5492.283410144781,30.0,0.02,0.5
5492.283410144781,5492.533616142939,150.0,0.04,0.25
5492.533616142939,5492.783822141097,150.0,0.32,0.5
5492.783822141097,5493.034036142938,60.0,0.02,0.25
5493.034036142938,5493.284250144781,0.0,0.02,0.25
5493.284250144781,5493.5344641466245,120.0,0.32,0.5
5493.5344641466245,5493.784678148466,150.0,0.16,0.5
5493.784678148466,5494.034886646623,30.0,0.32,0.0
5494.034886646623,5494.285095144781,120.0,0.02,0.75
5494.285095144781,5494.535303642938,150.0,0.02,0.0
5494.535303642938,5494.785512141096,30.0,0.16,0.5
5494.785512141096,5495.035716142938,60.0,0.04,0.75
5495.035716142938,5495.285920144781,120.0,0.16,0.75
5495.285920144781,5495.536124146624,120.0,0.04,0.75
5495.536124146624,5495.786328148465,0.0,0.04,0.5
5495.786328148465,5496.0365216466225,0.0,0.16,0.0
5496.0365216466225,5496.286715144781,30.0,0.16,0.75
5496.286715144781,5496.536908642938,150.0,0.16,0.25
5496.536908642938,5496.7871021410965,60.0,0.16,0.25
5496.7871021410965,5497.0373311429385,90.0,0.04,0.25
5497.0373311429385,5497.2875601447795,0.0,0.08,0.75
5497.2875601447795,5497.537789146621,30.0,0.32,0.25
5497.537789146621,5497.788018148465,60.0,0.04,0.5
5497.788018148465,5498.038226646623,90.0,0.02,0.75
5498.038226646623,5498.28843514478,60.0,0.02,0.5
5498.28843514478,5498.538643642938,90.0,0.32,0.25
5498.538643642938,5498.788852141096,150.0,0.32,0.25
5498.788852141096,5499.0390586429385,0.0,0.04,0.0
5499.0390586429385,5499.289265144782,120.0,0.32,0.75
5499.289265144782,5499.5394716466235,90.0,0.08,0.75
5499.5394716466235,5499.789678148466,60.0,0.02,0.5
5499.789678148466,5500.039886646624,150.0,0.32,0.75
5500.039886646624,5500.29009514478,90.0,0.02,0.75
5500.29009514478,5500.540303642938,0.0,0.02,0.0
5500.540303642938,5500.790512141096,30.0,0.08,0.75
5500.790512141096,5501.040721142938,30.0,0.04,0.0
5501.040721142938,5501.290930144782,60.0,0.02,0.5
5501.290930144782,5501.541139146623,30.0,0.16,0.25
5501.541139146623,5501.791348148466,150.0,0.08,0.25
5501.791348148466,5502.041556646624,150.0,0.02,0.5
5502.041556646624,5502.2917651447815,0.0,0.04,0.75
