start,stop,peak_t,peak_z,duration,peak_amp,peak_freq,state,epoch
4051.6888,4051.7312,4051.7088,6.968061447143555,0.0424,0.0002005450805881992,152.36061590110484,Non-REM,PRE
4052.3896,4052.4352,4052.412,8.453218460083008,0.0456,0.00023258873261511326,155.06718886686244,Non-REM,PRE
4053.4528,4053.5768,4053.5504,8.690751075744629,0.124,0.0002859829692170024,170.82468323460887,Non-REM,PRE
4054.6536,4054.6992,4054.6736,5.1156816482543945,0.0456,0.00015972010442055762,165.70158740602818,Non-REM,PRE
4055.6,4055.6488,4055.6232,8.392736434936523,0.0488,0.00031047590891830623,192.78874297970188,Non-REM,PRE
4056.1424,4056.1904,4056.1656,11.722960472106934,0.048,0.00038053933531045914,165.01580278487816,Non-REM,PRE
4060.5728,4060.6456,4060.604,9.380757331848145,0.0728,0.00026878889184445143,148.55088425820412,Non-REM,PRE
4061.1536,4061.2112,4061.1808,8.973825454711914,0.0576,0.00031174792093224823,195.2708942809117,Non-REM,PRE
4061.9944,4062.0248,4062.0096,5.287349224090576,0.0304,0.00022202768013812602,175.68653399743744,Non-REM,PRE
4069.9512,4070.0088,4069.9784,9.969986915588379,0.0576,0.0003292887413408607,159.0651990131157,Non-REM,PRE
4070.6304,4070.6832,4070.6448,6.587553024291992,0.0528,0.0002713378635235131,165.91345469663278,Non-REM,PRE
4072.1504,4072.192,4072.1712,7.7234296798706055,0.0416,0.00026921852258965373,157.58277208029412,Non-REM,PRE
4074.5784,4074.6232,4074.6056,6.393736839294434,0.0448,0.00025448124506510794,152.43479994752158,Non-REM,PRE
4074.6576,4074.8064,4074.7496,7.243725299835205,0.1488,0.0002950561756733805,159.16867522327135,Non-REM,PRE
4075.9,4075.948,4075.9208,10.090987205505371,0.048,0.0003389106714166701,170.5836139006366,Non-REM,PRE
4077.5176,4077.5512,4077.532,6.179460525512695,0.0336,0.00022748328046873212,167.01979955363322,Non-REM,PRE
4077.5968,4077.6536,4077.632,8.57896614074707,0.0568,0.00027409035828895867,181.5262740376713,Non-REM,PRE
4078.7288,4078.78,4078.7472,7.389682292938232,0.0512,0.00025267325690947473,150.7531858040785,Non-REM,PRE
4084.0096,4084.0456,4084.0256,6.831867218017578,0.036,0.00022387701028492302,195.9622875020956,Awake,PRE
4085.5472,4085.616,4085.5872,11.594542503356934,0.0688,0.00036950584035366774,170.91008721312014,Awake,PRE
4090.4576,4090.5144,4090.4864,14.846797943115234,0.0568,0.00043625914258882403,171.6636931468907,Awake,PRE
4090.636,4090.6944,4090.6664,9.79425048828125,0.0584,0.0002894269709941,171.30593010306814,Awake,PRE
4092.1776,4092.2256,4092.2016,10.357636451721191,0.048,0.0002980013086926192,158.5492789264048,Awake,PRE
4094.3512,4094.4888,4094.4632,10.298299789428711,0.1376,0.00028746185125783086,170.54310635196046,Awake,PRE
4095.116,4095.2064,4095.1808,11.614069938659668,0.0904,0.0003578309260774404,154.66988693142756,Awake,PRE
4097.0336,4097.0896,4097.0528,6.335860729217529,0.056,0.00021499687863979489,160.40176483855447,Awake,PRE
4100.5256,4100.6048,4100.5672,11.981240272521973,0.0792,0.00032230763463303447,176.7034748598653,Non-REM,PRE
4101.9456,4102.02,4101.972,9.146848678588867,0.0744,0.0003588513645809144,171.32747465174288,Non-REM,PRE
4102.208,4102.2568,4102.2352,8.76301383972168,0.0488,0.0002857719373423606,150.97128463336546,Non-REM,PRE
4102.4696,4102.5152,4102.4896,6.661397933959961,0.0456,0.00022613252804148942,163.14141885751394,Non-REM,PRE
4102.5632,4102.612,4102.5832,10.51880931854248,0.0488,0.00040581959183327854,165.53828079947243,Non-REM,PRE
4102.648,4102.6976,4102.6736,8.281085014343262,0.0496,0.00025452571571804583,149.80279217226587,Non-REM,PRE
4102.7648,4102.8128,4102.7864,8.278173446655273,0.048,0.00027442557620815933,156.64845097587835,Non-REM,PRE
4103.3192,4103.3632,4103.3408,5.487480163574219,0.044,0.00018872569489758462,149.66259178082026,Non-REM,PRE
4105.3512,4105.4008,4105.3744,11.299297332763672,0.0496,0.00037474563578143716,179.73301649215736,Non-REM,PRE
4105.5968,4105.6272,4105.6112,5.168826103210449,0.0304,0.00018406579329166561,165.1859415558475,Non-REM,PRE
4106.0224,4106.0888,4106.0632,12.181522369384766,0.0664,0.0003679782385006547,170.09799928191046,Non-REM,PRE
4108.436,4108.4976,4108.4624,12.424208641052246,0.0616,0.0003485647030174732,188.95094507270971,Non-REM,PRE
4117.1528,4117.2344,4117.176,12.970720291137695,0.0816,0.0003898593713529408,179.90175414994783,Non-REM,PRE
4117.9888,4118.0552,4118.0168,10.744894027709961,0.0664,0.00029474106850102544,177.92416191381363,Non-REM,PRE
4119.276,4119.3184,4119.2976,7.949021339416504,0.0424,0.0002586460905149579,168.8464615408722,Non-REM,PRE
4130.7144,4130.76,4130.7344,5.943436145782471,0.0456,0.00018853199435397983,153.42147436753646,Non-REM,PRE
4132.6496,4132.6984,4132.6672,8.966270446777344,0.0488,0.00031173424213193357,173.93526573234448,Non-REM,PRE
4132.7344,4132.8568,4132.7768,8.749091148376465,0.1224,0.00025788426864892244,177.33491004709614,Non-REM,PRE
4134.352,4134.388,4134.3696,6.519721508026123,0.036,0.0002291420823894441,165.7088180902532,Non-REM,PRE
4138.4048,4138.4536,4138.4296,6.749135971069336,0.0488,0.00019898593018297106,159.15251812222226,Non-REM,PRE
4139.9512,4139.9944,4139.9696,9.567426681518555,0.0432,0.00031997219775803387,166.58429893601027,Non-REM,PRE
4140.7408,4140.8136,4140.772,10.799921035766602,0.0728,0.00029757345328107476,162.359298371259,Non-REM,PRE
4142.9112,4143.0064,4142.9832,6.709226608276367,0.0952,0.0002602237509563565,161.9818898651052,Non-REM,PRE
4144.8848,4144.9304,4144.9072,9.662117958068848,0.0456,0.00031725404551252723,171.104533918625,Non-REM,PRE
4147.8448,4147.9392,4147.9224,7.451617240905762,0.0944,0.0002631742099765688,170.3347258406019,Non-REM,PRE
4148.0088,4148.0696,4148.0392,7.22571325302124,0.0608,0.00024264282546937466,156.9828417279522,Non-REM,PRE
4148.6832,4148.7352,4148.716,6.219137668609619,0.052,0.0002513758954592049,183.12354914890972,Non-REM,PRE
4149.0216,4149.056,4149.0384,5.833597183227539,0.0344,0.00020556354138534516,152.47197195333533,Non-REM,PRE
4151.6976,4151.7376,4151.7184,5.894085884094238,0.04,0.00021758367074653506,198.84165488378753,Non-REM,PRE
4160.7008,4160.7592,4160.7344,9.152522087097168,0.0584,0.00025438383454456925,174.35061761248696,Non-REM,PRE
4163.0272,4163.0728,4163.0488,5.814854621887207,0.0456,0.00020033566397614777,148.84383522637816,Non-REM,PRE
4163.3352,4163.3888,4163.356,11.295470237731934,0.0536,0.0003781943814828992,183.80465936004316,Non-REM,PRE
4168.0392,4168.1448,4168.0664,15.340638160705566,0.1056,0.0004034078447148204,165.51767385740425,Non-REM,PRE
4170.9632,4171.0176,4170.9856,10.887211799621582,0.0544,0.0003322944976389408,176.78941006335995,Non-REM,PRE
4171.048,4171.0992,4171.0728,9.874680519104004,0.0512,0.00028166300035081804,162.54774178466388,Non-REM,PRE
4174.5936,4174.6568,4174.6192,8.77391529083252,0.0632,0.00031081895576789975,185.6753313145964,Non-REM,PRE
4174.7,4174.7344,4174.7168,6.319357872009277,0.0344,0.00021797411318402737,171.12411443121908,Non-REM,PRE
4177.2592,4177.3128,4177.2824,12.493071556091309,0.0536,0.00034424784826114774,172.89869385938044,Non-REM,PRE
4177.352,4177.4152,4177.3792,12.261069297790527,0.0632,0.0003523803607095033,186.86594695760877,Non-REM,PRE
4179.4296,4179.4616,4179.4448,6.4486517906188965,0.032,0.00026865515974350274,162.00801063584927,Non-REM,PRE
4179.8176,4179.888,4179.8536,12.846172332763672,0.0704,0.00034373579546809196,169.49867850992172,Non-REM,PRE
4189.4064,4189.4456,4189.428,6.112818717956543,0.0392,0.00022958687623031437,163.10447113888097,Non-REM,PRE
4190.4608,4190.5072,4190.4792,8.967727661132812,0.0464,0.00029968051239848137,201.98738470832856,Non-REM,PRE
4190.644,4190.6864,4190.6632,12.844329833984375,0.0424,0.0004798088630195707,178.24983231390559,Non-REM,PRE
4191.2272,4191.2784,4191.248,7.423463344573975,0.0512,0.00023218414571601897,163.93402719243917,Non-REM,PRE
4193.0688,4193.1256,4193.092,9.839010238647461,0.0568,0.00027243050863035023,182.01401174785659,Non-REM,PRE
4197.1664,4197.2072,4197.188,6.358794689178467,0.0408,0.000220819580135867,199.96293640934596,Non-REM,PRE
4199.3752,4199.408,4199.3912,5.771302700042725,0.0328,0.00022681380505673587,154.47132077636672,Non-REM,PRE
4199.4544,4199.4928,4199.4712,7.184365749359131,0.0384,0.0002770527498796582,149.78894915162726,Non-REM,PRE
4199.5288,4199.5704,4199.5496,6.5126190185546875,0.0416,0.0002730393025558442,151.46516674820293,Non-REM,PRE
4199.6056,4199.6504,4199.624,5.61851167678833,0.0448,0.00016969870193861425,149.81066594376236,Non-REM,PRE
4199.6888,4199.732,4199.7128,6.31198787689209,0.0432,0.00019494166190270334,153.0119207331828,Non-REM,PRE
4201.508,4201.548,4201.528,8.214495658874512,0.04,0.0002512789214961231,180.8047996777827,Non-REM,PRE
4201.7912,4201.844,4201.8184,12.276765823364258,0.0528,0.0003627293335739523,185.05150434477113,Non-REM,PRE
4204.264,4204.3168,4204.2904,8.928546905517578,0.0528,0.00028632438625209033,188.44584898952243,Non-REM,PRE
4204.8264,4204.8696,4204.848,7.555989742279053,0.0432,0.00023662301828153431,180.74027118266758,Non-REM,PRE
4207.0416,4207.0728,4207.0584,5.153682708740234,0.0312,0.00023398881603498012,157.95002090261994,Non-REM,PRE
4207.5504,4207.6008,4207.5848,5.244146823883057,0.0504,0.00019389820226933807,177.01678435054288,Non-REM,PRE
4207.8392,4207.8832,4207.864,6.656824588775635,0.044,0.0002366838016314432,160.96417481701246,Non-REM,PRE
