session,unit,direction,peak_rate,peak_pos,field_start,field_end,field_width,spatial_info,n_spikes_field,is_place_cell,slope,phase0,rho,perm_p
Achilles_10252013,175,R,21.322712247000393,0.22,3.469446951953614e-18,0.44000000000000006,0.44000000000000006,1.2359210635260653,584,True,-0.69,5.588633531097401,-0.5024732796217675,0.001996007984031936
Achilles_10252013,176,R,26.207953869356192,0.18,3.469446951953614e-18,0.72,0.72,0.5308516758626813,1184,True,-2.0,5.763329189989221,0.055136423340450894,0.001996007984031936
Achilles_10252013,177,R,11.392548401146659,0.8200000000000001,0.56,1.24,0.6799999999999999,1.0321525821577722,293,True,-0.71,5.4690971698807385,-0.2696775609783974,0.001996007984031936
Achilles_10252013,179,R,10.988224803402014,0.26,0.12000000000000002,0.44000000000000006,0.32000000000000006,0.5936107843679445,207,True,-0.75,5.281592251303115,-0.2692016649030746,0.001996007984031936
Achilles_10252013,183,R,11.606021422663598,0.02,3.469446951953614e-18,0.12,0.12,2.432460658029263,114,True,-0.010000000000000009,1.4144509237055811,-0.00934973890974343,0.9101796407185628
Achilles_10252013,186,R,2.6662462851704496,1.18,0.88,1.44,0.5599999999999999,1.0415901748946668,55,True,-0.6799999999999999,5.448144643392928,-0.29461284892614026,0.03792415169660679
Achilles_10252013,201,R,4.471581002312758,0.02,3.469446951953614e-18,0.24,0.24,0.44427828949008386,85,True,-0.6399999999999999,4.456296331475116,-0.3126016471660582,0.0499001996007984
Achilles_10252013,202,R,3.7392756827234406,1.34,0.88,1.48,0.6,0.4303327833414088,69,True,-0.28,5.371527117186659,-0.1501182648937471,0.08383233532934131
Achilles_10252013,204,R,3.456052251710775,0.1,3.469446951953614e-18,0.24,0.24,0.46370362980212654,69,True,-0.42999999999999994,3.0371172733459315,-0.21266113665627423,0.22355289421157684
Achilles_10252013,215,R,3.080737620947207,1.34,1.12,1.6,0.48,0.8381375642257173,60,True,-0.22999999999999998,5.293900500989771,-0.15674991756706047,0.13972055888223553
Achilles_10252013,216,R,6.200013357296555,0.62,0.31999999999999995,0.8,0.4800000000000001,1.3506016159364562,155,True,-0.75,4.5003656522213955,0.06476258521582927,0.011976047904191617
Achilles_10252013,219,R,7.093702928511985,0.1,3.469446951953614e-18,0.28,0.28,0.6024456042773363,154,True,-0.49,2.702146644754683,-0.30472091752041364,0.001996007984031936
Achilles_10252013,220,R,7.198702514148551,1.22,0.8,1.6,0.8,1.265163461062981,183,True,0.6400000000000001,4.0370101267383625,0.1989475680253646,0.003992015968063872
Achilles_10252013,225,R,2.650158134250654,0.45999999999999996,0.28,0.8,0.52,1.2390400010273572,50,True,0.25,4.271401611596191,0.26772845634469616,0.07385229540918163
Achilles_10252013,240,R,8.232326588352024,0.62,0.31999999999999995,1.04,0.7200000000000001,0.5855798467229596,259,True,-0.6399999999999999,5.912624696791799,-0.09040420179027256,0.001996007984031936
Achilles_10252013,242,R,4.665402213586558,1.58,1.16,1.6,0.44000000000000017,1.2639465725700936,52,True,-0.22999999999999998,4.9940238590105785,-0.36513497625937996,0.013972055888223553
