template,wcorr,slope,p_circ,p_perm,max_p,significant
left,-0.6270191728192372,-309.239036181644,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,True
right,-0.22040087817638468,-106.75665973229374,0.3541147132169576,0.4463840399002494,0.4463840399002494,False
left,0.23803154092028647,168.97881843104634,0.4513715710723192,0.43640897755610975,0.4513715710723192,False
left,0.27647835278413224,208.62077072371625,0.39900249376558605,0.39900249376558605,0.39900249376558605,False
right,-0.6050629028568838,-432.58847764067394,0.0024937655860349127,0.029925187032418952,0.029925187032418952,True
right,0.24195983919211958,165.7982714142916,0.3940149625935162,0.46633416458852867,0.46633416458852867,False
right,0.07252791306846933,35.96278618678291,0.8653366583541147,0.912718204488778,0.912718204488778,False
right,-0.19617583083752746,-72.60713792861621,0.32917705735660846,0.42643391521197005,0.42643391521197005,False
right,-0.22484879491982085,-148.6258512053401,0.34663341645885287,0.4314214463840399,0.4314214463840399,False
left,0.31352099497664737,136.25639272431386,0.05486284289276808,0.12219451371571072,0.12219451371571072,False
right,-0.2520219821753685,-153.52656414473782,0.34413965087281795,0.4463840399002494,0.4463840399002494,False
right,0.17045603034748308,63.65012514401165,0.39900249376558605,0.4912718204488778,0.4912718204488778,False
left,0.17176321240131853,97.69699171859735,0.600997506234414,0.7381546134663342,0.7381546134663342,False
left,0.41911801304701946,283.14132353344127,0.08229426433915212,0.14463840399002495,0.14463840399002495,False
right,-0.144485541606053,-109.9614169072779,0.683291770573566,0.8104738154613467,0.8104738154613467,False
left,-0.21703118379327163,-101.52077082588951,0.29177057356608477,0.4513715710723192,0.4513715710723192,False
left,0.3557997230322787,230.02899367516164,0.09975062344139651,0.3117206982543641,0.3117206982543641,False
left,0.22238659254274698,101.67974910845817,0.19950124688279303,0.3192019950124688,0.3192019950124688,False
