template,wcorr,slope,p_circ,p_perm,max_p,epoch,event,t0,dur,n_active,significant,fwd
right,0.1705739764965432,115.0809250581964,0.5660847880299252,0.7456359102244389,0.7456359102244389,PRE,3914,18012.99,0.25,33,False,True
right,0.11585157822619976,45.883122962305464,0.7356608478802993,0.7805486284289277,0.7805486284289277,PRE,3915,18013.63,0.3600000000005821,42,False,True
left,0.07685497212876316,37.47040302139739,0.7905236907730673,0.9177057356608479,0.9177057356608479,PRE,3918,18025.84,0.3899999999994179,41,False,False
right,0.38265387231255804,258.5462323639012,0.04738154613466334,0.22194513715710723,0.22194513715710723,PRE,3919,18026.82,0.25,34,False,True
left,0.2174570230808822,150.4352624630129,0.5511221945137157,0.6533665835411472,0.6533665835411472,PRE,3921,18031.54,0.2599999999983993,42,False,False
right,0.07246778364911118,37.598071327578424,0.9201995012468828,0.9301745635910225,0.9301745635910225,PRE,3924,18038.08,0.3099999999976717,61,False,True
left,-0.15930275885332038,-89.23953986803215,0.5985037406483791,0.7456359102244389,0.7456359102244389,PRE,3929,18062.48,0.25,39,False,True
left,0.07163127841653459,38.890067560153376,0.8653366583541147,0.9177057356608479,0.9177057356608479,POST,0,20203.02,0.32999999999810825,42,False,False
left,-0.2813511582935484,-125.09464627008622,0.08229426433915212,0.2718204488778055,0.2718204488778055,POST,5,20319.83,0.33999999999650754,46,False,True
right,0.0966195206109535,51.21611661191864,0.8428927680798005,0.8877805486284289,0.8877805486284289,POST,7,20321.59,0.2999999999992724,52,False,True
left,-0.148903813157498,-73.43908626097695,0.5885286783042394,0.7231920199501247,0.7231920199501247,POST,8,20334.27,0.27999999999883585,25,False,True
left,0.194102464073549,123.6221505671044,0.49875311720698257,0.6483790523690773,0.6483790523690773,POST,11,20369.2,0.2900000000008731,52,False,False
right,0.1280048513126703,66.25301057952814,0.7082294264339152,0.8129675810473815,0.8129675810473815,POST,15,20381.88,0.3499999999985448,65,False,True
right,-0.2063427263534479,-103.51028733315196,0.38902743142144636,0.5411471321695761,0.5411471321695761,POST,25,20429.22,0.3499999999985448,59,False,False
left,0.43100635396516923,216.82869875835385,0.0199501246882793,0.11471321695760599,0.11471321695760599,POST,29,20434.47,0.28999999999723514,51,False,False
left,0.3228316377452474,133.08569216935723,0.08229426433915212,0.20199501246882792,0.20199501246882792,POST,36,20447.51,0.4400000000023283,68,False,False
left,-0.18343080008392063,-104.2913030920426,0.4114713216957606,0.600997506234414,0.600997506234414,POST,37,20449.72,0.3400000000001455,46,False,True
left,0.4597382734933222,221.87529672535572,0.004987531172069825,0.02743142144638404,0.02743142144638404,POST,38,20452.63,0.4099999999998545,59,True,False
left,-0.5429517075121132,-297.29101115469115,0.004987531172069825,0.00997506234413965,0.00997506234413965,POST,39,20453.12,0.3500000000021828,26,True,True
right,-0.07170932703969324,-33.76491608082292,0.8728179551122195,0.9301745635910225,0.9301745635910225,POST,40,20460.83,0.36999999999898137,40,False,False
right,0.30532236096030774,189.10693694938183,0.10224438902743142,0.30423940149625933,0.30423940149625933,POST,48,20547.21,0.2900000000008731,41,False,True
left,0.18369432473178648,109.09394583984135,0.571072319201995,0.6783042394014963,0.6783042394014963,POST,52,20596.72,0.32999999999810825,63,False,False
right,-0.245686942420195,-145.6898678123581,0.2967581047381546,0.4389027431421446,0.4389027431421446,POST,57,20612.48,0.2900000000008731,40,False,False
right,0.733909909919526,601.9386323429646,0.0024937655860349127,0.007481296758104738,0.007481296758104738,POST,62,20632.8,0.26000000000203727,56,True,True
right,0.42402437825279427,314.3326005869793,0.06982543640897755,0.12468827930174564,0.12468827930174564,POST,63,20633.61,0.25,43,False,True
left,-0.22931118456353108,-108.64247432651244,0.2942643391521197,0.4488778054862843,0.4488778054862843,POST,64,20635.69,0.42000000000189175,62,False,True
left,0.4242091933985078,221.33560374213081,0.014962593516209476,0.07231920199501247,0.07231920199501247,POST,65,20636.2,0.36999999999898137,39,False,False
left,-0.34853571962304164,-232.85965965340725,0.0773067331670823,0.2194513715710723,0.2194513715710723,POST,69,20645.72,0.25,43,False,True
right,0.35684209066232764,127.57912538736606,0.029925187032418952,0.06982543640897755,0.06982543640897755,POST,77,20664.69,0.5,46,False,True
right,0.44296202396950213,279.1173512290382,0.0199501246882793,0.1396508728179551,0.1396508728179551,POST,78,20667.75,0.27999999999883585,48,False,True
left,-0.11797320048442257,-76.4918800033354,0.7805486284289277,0.827930174563591,0.827930174563591,POST,82,20692.73,0.26000000000203727,48,False,True
right,0.3471335492038317,177.81108871254222,0.059850374064837904,0.13466334164588528,0.13466334164588528,POST,98,20739.94,0.3500000000021828,40,False,True
left,-0.15472490679201908,-116.55378175960409,0.6209476309226932,0.7556109725685786,0.7556109725685786,POST,99,20741.83,0.2699999999967986,43,False,True
right,0.4205992028704673,302.0596241290836,0.0199501246882793,0.20448877805486285,0.20448877805486285,POST,100,20745.71,0.25,50,False,True
right,0.5045757557612561,262.9997003843866,0.007481296758104738,0.04738154613466334,0.04738154613466334,POST,112,20777.15,0.3499999999985448,53,True,True
right,-0.15050908445490152,-53.91739062193022,0.5536159600997507,0.6384039900249376,0.6384039900249376,POST,115,20789.82,0.4599999999991269,50,False,False
left,-0.33449142203905097,-214.25352493678105,0.10723192019950124,0.27680798004987534,0.27680798004987534,POST,116,20790.35,0.2800000000024738,40,False,True
left,0.08951466120231645,56.02000640425955,0.8628428927680798,0.9301745635910225,0.9301745635910225,POST,122,20805.06,0.28999999999723514,60,False,False
left,0.4241031216046424,276.21890763725,0.02743142144638404,0.07481296758104738,0.07481296758104738,POST,129,20821.88,0.27000000000043656,36,False,False
left,-0.2718029600944791,-150.24943952002138,0.20947630922693267,0.42144638403990026,0.42144638403990026,POST,133,20834.12,0.3500000000021828,48,False,True
left,0.1762460475044441,93.0042878185278,0.5685785536159601,0.6783042394014963,0.6783042394014963,POST,136,20846.12,0.27000000000043656,53,False,False
left,0.13438318950212427,96.41732063898392,0.7680798004987531,0.8179551122194514,0.8179551122194514,POST,138,20860.0,0.27000000000043656,39,False,False
right,0.12205207576009136,38.79946073209592,0.543640897755611,0.6733167082294265,0.6733167082294265,POST,139,20863.32,0.5,40,False,True
right,0.03212059985989614,18.97412385855551,0.9800498753117207,0.972568578553616,0.9800498753117207,POST,148,20896.11,0.2999999999992724,34,False,True
right,-0.5407636073525547,-342.92616374237303,0.032418952618453865,0.06234413965087282,0.06234413965087282,POST,151,20912.45,0.2599999999983993,44,False,False
left,0.49073111874401926,280.0112655887739,0.014962593516209476,0.0399002493765586,0.0399002493765586,POST,160,20942.24,0.2999999999992724,42,True,False
right,-0.2072079356802242,-111.82942230438323,0.42144638403990026,0.5012468827930174,0.5012468827930174,POST,161,20943.45,0.2900000000008731,29,False,False
right,0.4593304269241633,256.26808432582834,0.02743142144638404,0.06982543640897755,0.06982543640897755,POST,162,20943.76,0.27000000000043656,42,False,True
left,0.2234223608310367,118.4524989538255,0.2967581047381546,0.4837905236907731,0.4837905236907731,POST,167,20958.0,0.33000000000174623,41,False,False
right,0.585556811557429,302.23312354001433,0.0024937655860349127,0.00997506234413965,0.00997506234413965,POST,169,20967.86,0.36999999999898137,62,True,True
right,-0.4418023231686222,-221.57283822329518,0.0024937655860349127,0.032418952618453865,0.032418952618453865,POST,175,20986.12,0.2999999999992724,36,True,False
left,-0.187468320375504,-118.74241068126926,0.46384039900249374,0.571072319201995,0.571072319201995,POST,184,21006.36,0.25,20,False,True
right,-0.3294859178941207,-202.95817979524926,0.05486284289276808,0.18952618453865336,0.18952618453865336,POST,185,21006.87,0.27000000000043656,31,False,False
left,-0.20829153644528686,-102.4223512952597,0.3516209476309227,0.5536159600997507,0.5536159600997507,POST,187,21010.78,0.33000000000174623,53,False,True
right,-0.5261330413924646,-277.8828356559185,0.00997506234413965,0.029925187032418952,0.029925187032418952,POST,192,21022.62,0.38000000000101863,61,True,False
left,-0.07217399571318481,-29.498069624781742,0.8453865336658354,0.9251870324189526,0.9251870324189526,POST,194,21028.16,0.4500000000007276,57,False,True
left,-0.14663589258620838,-60.112859494893904,0.5960099750623441,0.6758104738154613,0.6758104738154613,POST,207,21051.7,0.4500000000007276,47,False,True
left,-0.29845309739461157,-187.970248197294,0.0773067331670823,0.32418952618453867,0.32418952618453867,POST,211,21059.73,0.27000000000043656,31,False,True
left,-0.17344064645039128,-65.732001714325,0.4314214463840399,0.5386533665835411,0.5386533665835411,POST,212,21061.5,0.36999999999898137,25,False,True
left,-0.48706535901261133,-332.512138158575,0.022443890274314215,0.06982543640897755,0.06982543640897755,POST,213,21065.79,0.2900000000008731,52,False,True
left,-0.5255759014725594,-366.9814310279652,0.0024937655860349127,0.02493765586034913,0.02493765586034913,POST,220,21079.76,0.26000000000203727,37,True,True
right,-0.31242592416780385,-155.083180683058,0.1172069825436409,0.2169576059850374,0.2169576059850374,POST,223,21092.29,0.3400000000001455,34,False,False
right,-0.16319417894227747,-60.03489158959852,0.5012468827930174,0.6458852867830424,0.6458852867830424,POST,238,21163.9,0.3899999999994179,57,False,False
right,0.44062122775090823,230.90322453035108,0.0024937655860349127,0.022443890274314215,0.022443890274314215,POST,249,21198.46,0.3100000000013097,24,True,True
left,0.280637686716733,108.21865609783562,0.04738154613466334,0.16957605985037408,0.16957605985037408,POST,251,21216.2,0.48999999999796273,53,False,False
right,-0.2878471983357416,-213.9718764327397,0.3167082294264339,0.4763092269326683,0.4763092269326683,POST,255,21226.82,0.26000000000203727,37,False,False
right,-0.3945930470402825,-318.5063078785778,0.16458852867830423,0.3092269326683292,0.3092269326683292,POST,259,21241.31,0.2599999999983993,53,False,False
right,-0.22811329584685774,-150.42199783406588,0.3940149625935162,0.5037406483790524,0.5037406483790524,POST,261,21246.9,0.2599999999983993,36,False,False
left,0.5102990302695325,302.73225100833116,0.0024937655860349127,0.029925187032418952,0.029925187032418952,POST,266,21264.12,0.33000000000174623,40,True,False
left,0.21195436916568422,91.66126804494748,0.3192019950124688,0.42144638403990026,0.42144638403990026,POST,267,21264.73,0.43000000000029104,63,False,False
left,-0.35483916705185586,-171.02441202519032,0.022443890274314215,0.16957605985037408,0.16957605985037408,POST,268,21266.49,0.36999999999898137,53,False,True
right,-0.09505272921284223,-47.1538066137589,0.8403990024937655,0.8678304239401496,0.8678304239401496,POST,284,21314.3,0.3500000000021828,40,False,False
left,0.4272763006943774,341.6888482890955,0.034912718204488775,0.11221945137157108,0.11221945137157108,POST,287,21325.46,0.25,39,False,False
left,-0.35709730201341694,-150.34677420812477,0.014962593516209476,0.05236907730673317,0.05236907730673317,POST,292,21334.29,0.4399999999986903,57,False,True
