start,stop,peak_t,peak_z,duration,peak_amp,peak_freq,state,epoch,session
11331.8048,11331.8328,11331.8184,5.037707328796387,0.028,7.3250885179732e-05,160.3471505566647,Awake,PRE,Gatsby_08022013
11368.3024,11368.4352,11368.4128,10.639126777648926,0.1328,0.00012808239262085408,195.63748797151484,Awake,PRE,Gatsby_08022013
11368.492,11368.5472,11368.5064,5.6594672203063965,0.0552,9.90767075563781e-05,186.25907050385803,Awake,PRE,Gatsby_08022013
11381.62,11381.7288,11381.6688,5.149642467498779,0.1088,6.553798448294401e-05,182.30127687513513,Awake,PRE,Gatsby_08022013
11382.5152,11382.584,11382.5376,9.626110076904297,0.0688,0.0001233624789165333,187.74359711863843,Awake,PRE,Gatsby_08022013
11393.0272,11393.0632,11393.0472,6.3740763664245605,0.036,0.00010809603554662317,177.3988118242936,Awake,PRE,Gatsby_08022013
11464.3392,11464.396,11464.3536,5.158638000488281,0.0568,6.746565486537293e-05,156.1735969615163,Awake,PRE,Gatsby_08022013
11488.1888,11488.2328,11488.2088,6.654000759124756,0.044,7.65600343584083e-05,151.38562751547167,Awake,PRE,Gatsby_08022013
11539.8568,11539.8888,11539.8728,5.437641620635986,0.032,7.446319068549201e-05,151.48818230218518,Awake,PRE,Gatsby_08022013
11547.7552,11547.7976,11547.7792,6.0172224044799805,0.0424,7.605372957186773e-05,168.08203411243008,Awake,PRE,Gatsby_08022013
11548.904,11548.94,11548.9224,7.975444316864014,0.036,0.00011208897922188044,155.65768527640145,Awake,PRE,Gatsby_08022013
11551.076,11551.1032,11551.0888,5.598952770233154,0.0272,8.672814146848395e-05,176.710815433249,Awake,PRE,Gatsby_08022013
11574.4024,11574.5,11574.4448,16.467222213745117,0.0976,0.0001604650606168434,160.40699756982355,Awake,PRE,Gatsby_08022013
11594.9384,11595.1096,11594.9824,10.038570404052734,0.1712,0.00011917680967599154,150.34407072582164,Awake,PRE,Gatsby_08022013
11595.1584,11595.2736,11595.2464,8.765541076660156,0.1152,0.00011478045780677348,164.747543281827,Awake,PRE,Gatsby_08022013
11600.3912,11600.4728,11600.4144,5.76445198059082,0.0816,6.145164661575109e-05,169.23646073024815,Awake,PRE,Gatsby_08022013
11609.5072,11609.5512,11609.528,7.417104244232178,0.044,8.455475472146645e-05,152.72545461298324,Awake,PRE,Gatsby_08022013
11613.6136,11613.6712,11613.6368,9.228702545166016,0.0576,0.00010074955935124308,156.6754992594401,Awake,PRE,Gatsby_08022013
11619.784,11619.828,11619.8016,10.128644943237305,0.044,0.00012042508751619607,156.1799084548478,Awake,PRE,Gatsby_08022013
11620.1288,11620.1616,11620.1448,5.651421070098877,0.0328,6.91414243192412e-05,162.9694032200095,Awake,PRE,Gatsby_08022013
11626.176,11626.2064,11626.1904,6.031824588775635,0.0304,9.84867729130201e-05,163.7473591258586,Awake,PRE,Gatsby_08022013
11628.4552,11628.5944,11628.5672,9.366387367248535,0.1392,0.00011598767741816118,144.67977651880102,Awake,PRE,Gatsby_08022013
11635.0864,11635.1216,11635.1024,6.234673976898193,0.0352,8.058032108237967e-05,149.5476882711733,Awake,PRE,Gatsby_08022013
11637.2368,11637.2832,11637.2616,10.22903060913086,0.0464,0.00010923913214355707,157.6062512032141,Awake,PRE,Gatsby_08022013
11645.0224,11645.0672,11645.0432,7.228212833404541,0.0448,8.47097544465214e-05,154.74062511509285,Awake,PRE,Gatsby_08022013
11649.9456,11650.0048,11649.9864,5.529367923736572,0.0592,7.264901796588674e-05,168.27022675733423,Awake,PRE,Gatsby_08022013
11654.9424,11654.9896,11654.9656,7.8033905029296875,0.0472,8.176807023119181e-05,167.95918664448757,Awake,PRE,Gatsby_08022013
11665.2992,11665.4264,11665.3248,10.025031089782715,0.1272,0.00011657641880447045,161.9420511987146,Awake,PRE,Gatsby_08022013
