path,subject,session,unit,layer,depth_mm,n_spikes,box_half_cm,run_time_s,included,gridness,spacing_cm,orientation_deg,peak_rate,mean_rate,spatial_info,r_in,r_out,hd_mvl,hd_pref,gridness_p,gridness_shuf_95,hd_mvl_shuf_95,hd_p
sub-10938/sub-10938_ses-12100410_behavior+ecephys.nwb,10938,12100410,t7c1,MEC LIII,2.6999999999999997,1241,52.1442755086958,588.0,True,0.8029496299622539,57.0087712549569,9.865806943084351,17.443038344153305,2.1075334555616325,0.873391075299022,12.0,27.0,,,0.035,0.6889060215854567,,
sub-10962/sub-10962_ses-27110403_behavior+ecephys.nwb,10962,27110403,t2c1,MEC LVI,2.5,919,51.93857291695671,581.12,True,-0.10678827607130262,92.63503656824453,3.0940580589171116,7.163235700566967,1.5794177293521394,0.46201835871173125,24.0,40.0,,,0.815,0.662711390661123,,
sub-10962/sub-10962_ses-27110403_behavior+ecephys.nwb,10962,27110403,t2c2,MEC LVI,2.5,1516,51.93857291695671,581.12,True,-0.13551561272434515,92.53377761660873,6.340191745909891,9.076412821354257,2.6054377341652266,0.4760227665905031,31.0,35.0,,,0.785,0.5519309794083092,,
sub-10962/sub-10962_ses-27110403_behavior+ecephys.nwb,10962,27110403,t2c3,MEC LVI,2.5,6839,51.93857291695671,581.12,True,0.8945613243803936,44.721359549995796,23.629377730656813,34.66173843275432,11.753686453796824,0.08838082592536838,9.0,17.0,,,0.02,0.7453341082502167,,
sub-10962/sub-10962_ses-27110403_behavior+ecephys.nwb,10962,27110403,t2c4,MEC LVI,2.5,951,51.93857291695671,581.12,True,-0.014578480049931203,49.244289008980516,3.43494882292201,7.438431197150377,1.6344137765112998,0.3902825717678652,11.0,36.0,,,0.67,0.7854582925153535,,
sub-10962/sub-10962_ses-27110403_behavior+ecephys.nwb,10962,27110403,t3c1,MEC LVI,2.5,1934,51.93857291695671,581.12,True,0.2646214011159418,50.99019513592785,3.43494882292201,18.238337969079726,3.3238236001817603,0.8868707162118175,10.0,25.0,,,0.305,0.6133542269803767,,
sub-10962/sub-10962_ses-28110402_behavior+ecephys.nwb,10962,28110402,t4c1,MEC LVI,2.55,2176,51.371579483195404,586.62,True,-0.2553239505098633,82.53787009609589,3.1798301198642345,10.865262832253713,3.7033255046155062,0.2417539604382921,21.0,37.0,,,0.94,0.5443803593390668,,
sub-10962/sub-10962_ses-28110402_behavior+ecephys.nwb,10962,28110402,t4c2,MEC LVI,2.55,519,51.371579483195404,586.62,True,1.0220764203533768,46.09772228646443,10.601294645004458,5.198084016364863,0.8832839783526873,0.6843700293988155,9.0,23.0,,,0.005,0.5292230592316064,,
sub-10962/sub-10962_ses-28110406_behavior+ecephys.nwb,10962,28110406,t2c1,MEC LVI,2.55,654,52.21350981108988,580.68,True,-0.2267834321822001,47.5,0.0,5.668838196585577,1.124522851543373,0.45159807669496266,10.0,35.0,,,0.91,0.8471993014043674,,
sub-10962/sub-10962_ses-28110406_behavior+ecephys.nwb,10962,28110406,t4c1,MEC LVI,2.55,1569,52.21350981108988,580.68,True,-0.2883054387515196,75.66372975210778,22.40535663140855,9.986114221382772,2.6978231713632295,0.2476363848777644,12.0,37.0,,,0.995,0.5868992215006842,,
sub-10962/sub-10962_ses-28110406_behavior+ecephys.nwb,10962,28110406,t4c2,MEC LVI,2.55,2879,52.21350981108988,580.68,True,1.230177383509018,55.226805085936306,5.194428907734789,33.899208471479724,4.95030778225286,0.7773360026325586,11.0,26.0,,,0.0,0.7531282133921499,,
sub-10962/sub-10962_ses-29110404_behavior+ecephys.nwb,10962,29110404,t1c1,MEC LVI,2.65,838,52.25666992920972,537.9,True,-0.1853143969967362,79.76528066771908,30.0,8.486118212255818,1.5530022238709453,0.43348744208371803,17.0,39.0,,,0.935,0.7241386577899144,,
sub-11016/sub-11016_ses-02020502_behavior+ecephys.nwb,11016,02020502,t5c1,MEC LV,2.1999999999999997,400,51.9026127030387,552.84,True,0.06535283593448492,62.94839156007086,6.84277341263094,5.365893824208768,0.7205130052604003,0.46849544263203147,18.0,36.0,,,0.545,0.5956627906747951,,
