session,area,task,n_units,acc,sd,chance,kind
721123822,LP,orientation,10,0.2535224089635854,0.01988792312697145,0.25,shuffled
721123822,LP,orientation,20,0.2546025910364146,0.02450656034710087,0.25,shuffled
721123822,LP,orientation,40,0.263172268907563,0.022729067661382902,0.25,shuffled
721123822,CA1,direction,5,0.1348249299719888,0.009742721144780109,0.125,observed
721123822,CA1,direction,10,0.1392454481792717,0.01354885021467863,0.125,observed
721123822,CA1,direction,20,0.1981687675070028,0.039268083336572,0.125,observed
721123822,CA1,direction,40,0.21532387955182072,0.028998098397372146,0.125,observed
721123822,CA1,direction,5,0.12248074229691877,0.017188128827376338,0.125,shuffled
721123822,CA1,direction,10,0.11898984593837535,0.024119575026862666,0.125,shuffled
721123822,CA1,direction,20,0.12021183473389356,0.01686038415923816,0.125,shuffled
721123822,CA1,direction,40,0.1147233893557423,0.011058307153895795,0.125,shuffled
721123822,CA1,orientation,5,0.27446953781512606,0.018064297198981234,0.25,observed
721123822,CA1,orientation,10,0.2836327030812325,0.013828189954307677,0.25,observed
721123822,CA1,orientation,20,0.3804149159663865,0.06548051669282165,0.25,observed
721123822,CA1,orientation,40,0.41764355742296916,0.055475961417292906,0.25,observed
721123822,CA1,orientation,5,0.26275735294117647,0.009676334254879728,0.25,shuffled
721123822,CA1,orientation,10,0.2625035014005602,0.016283873432044207,0.25,shuffled
721123822,CA1,orientation,20,0.25330532212885154,0.01346049133099996,0.25,shuffled
721123822,CA1,orientation,40,0.24269607843137256,0.020481754360625198,0.25,shuffled
739448407,VISp,direction,5,0.4035416666666667,0.06810142303538483,0.125,observed
739448407,VISp,direction,10,0.48,0.04849112175325385,0.125,observed
739448407,VISp,direction,5,0.13270833333333332,0.018501829864457555,0.125,shuffled
739448407,VISp,direction,10,0.12541666666666668,0.020425168297960233,0.125,shuffled
739448407,VISp,orientation,5,0.6379166666666667,0.08367326501205614,0.25,observed
739448407,VISp,orientation,10,0.7645833333333334,0.05616042250157633,0.25,observed
739448407,VISp,orientation,5,0.26,0.018782379449307753,0.25,shuffled
739448407,VISp,orientation,10,0.25750000000000006,0.02,0.25,shuffled
739448407,VISl,direction,5,0.4560416666666667,0.07760269853197402,0.125,observed
739448407,VISl,direction,10,0.5920833333333333,0.07695033571510046,0.125,observed
739448407,VISl,direction,20,0.7547916666666665,0.0444365769946336,0.125,observed
739448407,VISl,direction,5,0.11791666666666667,0.008111634305804914,0.125,shuffled
739448407,VISl,direction,10,0.12083333333333333,0.013894443333777555,0.125,shuffled
739448407,VISl,direction,20,0.12687500000000002,0.008757437315409877,0.125,shuffled
739448407,VISl,orientation,5,0.6664583333333334,0.07138236973044067,0.25,observed
739448407,VISl,orientation,10,0.81625,0.07175261319283081,0.25,observed
739448407,VISl,orientation,20,0.9395833333333334,0.020237307407634807,0.25,observed
739448407,VISl,orientation,5,0.24854166666666666,0.014323579530115914,0.25,shuffled
739448407,VISl,orientation,10,0.2541666666666667,0.019382838916021692,0.25,shuffled
739448407,VISl,orientation,20,0.245,0.013228756555322954,0.25,shuffled
739448407,VISrl,direction,5,0.21395833333333336,0.035832727708060425,0.125,observed
739448407,VISrl,direction,10,0.2947916666666667,0.04583664760744276,0.125,observed
739448407,VISrl,direction,20,0.38875,0.03528406549389935,0.125,observed
739448407,VISrl,direction,40,0.550625,0.04688888683188516,0.125,observed
739448407,VISrl,direction,5,0.13708333333333333,0.013938107236398111,0.125,shuffled
739448407,VISrl,direction,10,0.12249999999999998,0.018484227510682363,0.125,shuffled
739448407,VISrl,direction,20,0.1225,0.015942605391424156,0.125,shuffled
739448407,VISrl,direction,40,0.11249999999999999,0.014142135623730954,0.125,shuffled
739448407,VISrl,orientation,5,0.405625,0.06497829498720664,0.25,observed
739448407,VISrl,orientation,10,0.48624999999999996,0.06200778400957235,0.25,observed
739448407,VISrl,orientation,20,0.5554166666666667,0.037460627478875914,0.25,observed
739448407,VISrl,orientation,40,0.7410416666666667,0.04269511990718481,0.25,observed
739448407,VISrl,orientation,5,0.255625,0.026574547921314147,0.25,shuffled
739448407,VISrl,orientation,10,0.24708333333333332,0.012240359017973653,0.25,shuffled
