event,start,end,n_active,n_bins,wc,p,abs_wc,significant
2064,25841.1984,25841.3712,36,9,0.9026423486068326,0.003992015968063872,0.9026423486068326,True
2071,25860.3872,25860.4808,17,5,0.22623758526712026,0.35728542914171657,0.22623758526712026,False
2074,25870.0768,25870.1792,18,6,0.6710038420783133,0.059880239520958084,0.6710038420783133,False
2078,25884.2264,25884.3408,33,6,0.4505039758526047,0.2894211576846307,0.4505039758526047,False
2079,25885.5,25885.5896,18,5,0.3594442380036196,0.3473053892215569,0.3594442380036196,False
2080,25932.1296,25932.2872,38,8,-0.1750949218722878,0.5708582834331337,0.1750949218722878,False
2084,25944.8288,25944.9512,32,7,-0.8028724111512439,0.001996007984031936,0.8028724111512439,True
2086,25945.7368,25945.8584,31,7,-0.8226903313591039,0.001996007984031936,0.8226903313591039,True
2089,25947.9544,25948.0416,27,5,0.15681360112021253,0.6606786427145709,0.15681360112021253,False
2091,25957.568,25957.7264,37,8,-0.4071251817033415,0.17764471057884232,0.4071251817033415,False
2092,25958.2352,25958.3704,29,7,0.2435608115693021,0.4251497005988024,0.2435608115693021,False
2099,25966.6184,25966.8248,41,11,0.5387264389351625,0.02594810379241517,0.5387264389351625,True
2101,25971.1296,25971.2632,35,7,-0.2427818517718769,0.437125748502994,0.2427818517718769,False
2103,25976.9152,25977.0432,36,7,-0.9519138874416743,0.001996007984031936,0.9519138874416743,True
2104,25977.124,25977.2112,23,5,-0.19335536787007532,0.6427145708582834,0.19335536787007532,False
2115,25989.1088,25989.2208,31,6,0.4525597902011226,0.09381237524950099,0.4525597902011226,False
2120,25999.4304,25999.5232,27,5,0.2513479517081828,0.5728542914171657,0.2513479517081828,False
2127,26013.784,26013.864,21,5,-0.23507997616813212,0.3093812375249501,0.23507997616813212,False
2132,26028.2752,26028.356,25,5,0.26172214621713347,0.5409181636726547,0.26172214621713347,False
2136,26029.8992,26029.9872,20,5,-0.12165471263397226,0.7604790419161677,0.12165471263397226,False
2138,26032.0768,26032.1968,34,7,-0.5513770582347478,0.0658682634730539,0.5513770582347478,False
2153,26053.4944,26053.592,20,5,-0.0159107999819397,0.9660678642714571,0.0159107999819397,False
2165,26089.4376,26089.5416,28,6,0.1296275235599438,0.7345309381237525,0.1296275235599438,False
2167,26092.32,26092.4152,26,5,-0.8193621918164237,0.017964071856287425,0.8193621918164237,True
2179,26123.9504,26124.036,25,5,-0.6268301814892647,0.1217564870259481,0.6268301814892647,False
