session,group,n_units,rep,accuracy,shuffled
719161530,visual cortex,32,10,0.9983333333333334,0.28256302521008403
719161530,visual cortex,32,11,0.9916386554621848,0.21732492997198877
719161530,visual cortex,32,12,0.991624649859944,0.24593837535014007
719161530,visual cortex,32,13,0.9582913165266106,0.25756302521008406
719161530,visual cortex,32,14,0.9698459383753502,0.24081232492997198
719161530,LGd,1,0,0.25585434173669463,0.2357703081232493
719161530,LGd,1,1,0.30941176470588233,0.22068627450980394
719161530,LGd,1,2,0.4114145658263305,0.2256862745098039
719161530,LGd,1,3,0.22733893557422968,0.26915966386554624
719161530,LGd,1,4,0.2609103641456582,0.23908963585434173
719161530,LGd,1,5,0.3227170868347339,0.26588235294117646
719161530,LGd,1,6,0.26752100840336135,0.22407563025210084
719161530,LGd,1,7,0.3245518207282913,0.24085434173669468
719161530,LGd,1,8,0.29432773109243693,0.26091036414565827
719161530,LGd,1,9,0.40803921568627455,0.2525910364145658
719161530,LGd,1,10,0.2642296918767507,0.22410364145658263
719161530,LGd,1,11,0.32278711484593836,0.21745098039215688
719161530,LGd,1,12,0.3160364145658263,0.22072829131652663
719161530,LGd,1,13,0.30110644257703084,0.24243697478991594
719161530,LGd,1,14,0.31939775910364143,0.24752100840336136
719161530,LGd,2,0,0.4198179271708683,0.24246498599439778
719161530,LGd,2,1,0.37127450980392157,0.19571428571428573
719161530,LGd,2,2,0.2591456582633053,0.2977871148459384
719161530,LGd,2,3,0.27593837535014004,0.2610224089635854
719161530,LGd,2,4,0.2591316526610644,0.2625070028011205
719161530,LGd,2,5,0.24246498599439778,0.26254901960784316
719161530,LGd,2,6,0.23749299719887956,0.26420168067226896
719161530,LGd,2,7,0.42980392156862746,0.25591036414565826
719161530,LGd,2,8,0.30589635854341735,0.2676050420168067
719161530,LGd,2,9,0.3863725490196079,0.24249299719887957
719161530,LGd,2,10,0.3494117647058823,0.267577030812325
719161530,LGd,2,11,0.30936974789915966,0.21070028011204484
719161530,LGd,2,12,0.2960364145658263,0.25918767507002805
719161530,LGd,2,13,0.3127450980392157,0.2507983193277311
719161530,LGd,2,14,0.26753501400560226,0.2173529411764706
719161530,LGd,4,0,0.42806722689075627,0.25752100840336134
719161530,LGd,4,1,0.4899719887955182,0.2758963585434174
719161530,LGd,4,2,0.3545658263305322,0.2709103641456583
719161530,LGd,4,3,0.36116246498599436,0.25250700280112043
719161530,LGd,4,4,0.40466386554621847,0.26072829131652664
719161530,LGd,4,5,0.38456582633053216,0.23585434173669467
719161530,LGd,4,6,0.33442577030812326,0.2826470588235294
719161530,LGd,4,7,0.43310924369747905,0.29264705882352937
719161530,LGd,4,8,0.35613445378151265,0.2776610644257703
719161530,LGd,4,9,0.5116106442577031,0.23235294117647057
719161530,LGd,4,10,0.41792717086834735,0.24581232492997201
719161530,LGd,4,11,0.4215546218487395,0.20575630252100838
719161530,LGd,4,12,0.35285714285714287,0.24403361344537816
719161530,LGd,4,13,0.29764705882352943,0.25915966386554623
719161530,LGd,4,14,0.4614005602240897,0.25081232492997196
719161530,LGd,8,0,0.40130252100840336,0.23747899159663866
719161530,LGd,8,1,0.6371848739495798,0.25591036414565826
719161530,LGd,8,2,0.49155462184873944,0.26918767507002805
719161530,LGd,8,3,0.6021288515406162,0.2826330532212885
719161530,LGd,8,4,0.658935574229692,0.23575630252100838
719161530,LGd,8,5,0.47163865546218486,0.255812324929972
